Cycle	Chunks	Types	Productions	RealT	SimT
0	228	9	2	0.001	0.0
100	347	9	2	0.535	4.6249
200	396	9	2	0.315	4.158999999999999
300	419	9	2	0.287	4.196900000000001
400	477	9	2	0.185	3.7965999999999998
500	681	9	2	0.304	4.452300000000001
600	702	9	2	0.334	4.710699999999999
700	708	9	2	0.167	4.412600000000001
800	713	9	2	0.159	4.811799999999998
900	720	9	2	0.138	4.5321
1000	720	9	2	0.194	4.615499999999997
1100	725	9	2	0.217	4.688200000000002
1200	728	9	2	0.137	4.5595
1300	752	9	2	0.16	3.8359000000000023
1400	813	9	2	0.172	4.626899999999999
1500	1036	9	2	0.247	4.433
1600	1339	9	2	0.376	4.484999999999999
1700	1402	9	2	0.22	4.461399999999998
1800	1460	9	2	0.217	4.202600000000004
1900	1511	9	2	0.187	4.097300000000004
2000	1530	9	2	0.214	4.3873999999999995
2100	1536	9	2	0.164	4.505899999999997
2200	1611	9	2	0.262	4.515100000000004
2300	1655	9	2	0.184	5.292099999999991
2400	1693	9	2	0.117	5.477400000000003
2500	1693	9	2	0.09	5.198499999999996
2600	1694	9	2	0.225	5.5619000000000085
2700	1708	9	2	0.075	4.649900000000002
2800	1735	9	2	0.121	4.2749999999999915
2900	1761	9	2	0.228	5.2583000000000055
3000	1763	9	2	0.213	5.768000000000001
3100	1868	9	2	0.148	4.56989999999999
3200	1879	9	2	0.139	4.8648000000000025
3300	1892	9	2	0.099	4.281900000000007
3400	1897	9	2	0.074	4.682299999999998
3500	1915	9	2	0.109	4.302199999999999
3600	1992	9	2	0.128	3.872700000000009
3700	2099	9	2	0.161	7.1547999999999945
3800	2127	9	2	0.109	5.055299999999988
3900	2235	9	2	0.209	5.6965000000000146
4000	2239	9	2	0.15	5.459499999999991
4100	2265	9	2	0.131	4.019100000000009
4200	2272	9	2	0.102	3.8900999999999897
4300	2286	9	2	0.089	3.690899999999999
4400	2380	9	2	0.123	4.579100000000011
4500	2449	9	2	0.133	6.292900000000003
4600	2502	9	2	0.141	6.129099999999994
4700	2516	9	2	0.111	4.7912000000000035
4800	2585	9	2	0.143	3.69489999999999
4900	2635	9	2	0.114	4.818399999999997
5000	2709	9	2	0.128	4.876000000000005
5100	2832	9	2	0.141	4.462299999999999
5200	2838	9	2	0.072	5.465100000000007
5300	2852	9	2	0.095	4.342399999999998
5400	2921	9	2	0.088	3.9598000000000013
5500	2964	9	2	0.105	7.752899999999983
5600	3018	9	2	0.15	5.4716999999999985
5700	3022	9	2	0.106	4.9716999999999985
5800	3063	9	2	0.157	3.8822000000000116
5900	3130	9	2	0.093	3.8752999999999815
6000	3133	9	2	0.084	4.377400000000023
6100	3216	9	2	0.088	3.581799999999987
6200	3264	9	2	0.099	5.6480999999999995
6300	3349	9	2	0.115	4.197900000000004
6400	3485	9	2	0.152	7.2309999999999945
6500	3601	9	2	0.148	11.373400000000004
6600	3653	9	2	0.114	6.7952999999999975
6700	3705	9	2	0.103	6.6259000000000015
6800	3863	9	2	0.124	6.349400000000003
6900	3864	9	2	0.037	5.373400000000004
7000	3902	9	2	0.047	4.1211999999999875
7100	3918	9	2	0.044	5.225099999999998
7200	3960	9	2	0.048	3.971400000000017
7300	4012	9	2	0.067	4.097399999999993
7400	4102	9	2	0.106	4.5586999999999875
7500	4173	9	2	0.074	4.802700000000016
7600	4185	9	2	0.077	4.9003999999999905
7700	4188	9	2	0.067	4.6259000000000015
7800	4211	9	2	0.05	5.5774000000000115
7900	4253	9	2	0.053	6.8740999999999985
8000	4285	9	2	0.045	4.3648000000000025
8100	4408	9	2	0.091	5.153099999999995
8200	4506	9	2	0.127	4.781000000000006
8300	4532	9	2	0.077	4.867599999999982
8400	4539	9	2	0.04	3.837600000000009
8500	4547	9	2	0.056	4.259299999999996
8600	4622	9	2	0.083	4.208000000000027
8700	4733	9	2	0.102	5.588899999999967
8800	4788	9	2	0.073	6.753500000000031
8900	4857	9	2	0.114	10.482100000000003
9000	4909	9	2	0.07	11.477800000000002
9100	5007	9	2	0.11	5.28589999999997
9200	5034	9	2	0.071	7.4295999999999935
9300	5196	9	2	0.118	11.713000000000022
9400	5230	9	2	0.07	10.2303
9500	5281	9	2	0.087	8.918700000000001
9600	5402	9	2	0.145	7.072000000000003
9700	5413	9	2	0.072	4.122799999999984
9800	5421	9	2	0.075	5.267600000000016
9900	5507	9	2	0.177	5.604600000000005
10000	5530	9	2	0.088	7.524999999999977
10100	5554	9	2	0.104	8.637100000000032
10200	5559	9	2	0.094	10.216499999999996
10300	5583	9	2	0.058	4.886799999999994
10400	5760	9	2	0.139	10.038900000000012
10500	5817	9	2	0.118	8.625499999999988
10600	6038	9	2	0.178	5.901899999999955
10700	6119	9	2	0.091	8.883100000000013
10800	6203	9	2	0.089	6.080900000000042
10900	6311	9	2	0.162	7.668299999999931
11000	6340	9	2	0.09	9.263300000000072
11100	6498	9	2	0.098	10.608299999999986
11200	6585	9	2	0.09	9.168499999999995
11300	6620	9	2	0.056	6.226999999999975
11400	6624	9	2	0.036	5.211800000000039
11500	6638	9	2	0.053	7.2327999999999975
11600	6675	9	2	0.095	7.651700000000005
11700	6712	9	2	0.093	9.282600000000002
11800	6746	9	2	0.074	6.976599999999962
11900	6902	9	2	0.174	4.639400000000023
12000	6993	9	2	0.08	14.691599999999994
12100	6997	9	2	0.078	12.001800000000003
12200	7034	9	2	0.121	8.357499999999959
12300	7045	9	2	0.096	8.10080000000005
12400	7057	9	2	0.101	6.331099999999992
12500	7073	9	2	0.061	5.101599999999962
12600	7129	9	2	0.066	4.973100000000045
12700	7164	9	2	0.034	4.837999999999965
12800	7254	9	2	0.059	9.236499999999978
12900	7299	9	2	0.071	10.496200000000044
13000	7346	9	2	0.056	18.86749999999995
13100	7370	9	2	0.055	10.959400000000073
13200	7371	9	2	0.062	10.516099999999938
13300	7371	9	2	0.072	14.980999999999995
13400	7382	9	2	0.078	7.6252000000000635
13500	7384	9	2	0.074	7.334899999999948
13600	7385	9	2	0.067	13.44870000000003
13700	7412	9	2	0.06	10.486599999999953
13800	7474	9	2	0.065	8.550600000000031
13900	7531	9	2	0.061	12.518500000000017
14000	7604	9	2	0.085	9.99249999999995
14100	7604	9	2	0.059	12.39510000000007
14200	7604	9	2	0.071	9.678899999999999
14300	7609	9	2	0.057	8.541899999999941
14400	7693	9	2	0.066	13.364100000000008
14500	7693	9	2	0.091	13.760400000000004
14600	7693	9	2	0.043	10.63390000000004
14700	7696	9	2	0.052	9.305499999999938
14800	7696	9	2	0.029	7.740000000000009
14900	7696	9	2	0.045	10.776500000000055
15000	7705	9	2	0.039	9.19659999999999
15100	7705	9	2	0.046	7.774499999999989
15200	7722	9	2	0.049	6.032400000000052
15300	7764	9	2	0.067	4.5353000000000065
15400	7857	9	2	0.071	4.532399999999939
15500	7938	9	2	0.078	4.683200000000056
15600	8039	9	2	0.116	9.894199999999955
15700	8070	9	2	0.047	4.934299999999894
15800	8126	9	2	0.046	4.1607000000001335
15900	8154	9	2	0.038	6.27579999999989
16000	8251	9	2	0.08	9.410100000000057
16100	8336	9	2	0.074	19.088799999999992
16200	8573	9	2	0.083	13.107999999999947
16300	8612	9	2	0.081	9.586000000000013
16400	8653	9	2	0.053	12.014300000000048
16500	8694	9	2	0.074	12.59699999999998
16600	8701	9	2	0.046	15.572100000000091
16700	8703	9	2	0.046	17.76389999999992
16800	8739	9	2	0.061	10.693700000000035
16900	8750	9	2	0.059	8.854399999999941
17000	8763	9	2	0.04	5.4155000000000655
17100	8764	9	2	0.024	3.8993000000000393
17200	8789	9	2	0.067	13.839799999999968
17300	8833	9	2	0.08	6.827199999999948
17400	8851	9	2	0.043	8.75890000000004
17500	8896	9	2	0.063	5.365299999999934
17600	8948	9	2	0.047	6.207100000000082
17700	8988	9	2	0.067	5.441499999999905
17800	9079	9	2	0.058	7.2017000000000735
17900	9110	9	2	0.066	7.64689999999996
18000	9218	9	2	0.084	12.201999999999998
18100	9366	9	2	0.143	9.353200000000015
18200	9426	9	2	0.113	13.167200000000093
18300	9428	9	2	0.05	6.022999999999911
18400	9510	9	2	0.141	10.910900000000083
18500	9510	9	2	0.07	10.16989999999987
18600	9531	9	2	0.075	10.073200000000043
18700	9569	9	2	0.087	7.535000000000082
18800	9588	9	2	0.131	7.25
18900	9589	9	2	0.055	5.641499999999951
19000	9600	9	2	0.067	5.682000000000016
19100	9608	9	2	0.044	5.73739999999998
19200	9616	9	2	0.054	8.632200000000012
19300	9628	9	2	0.028	5.50409999999988
19400	9631	9	2	0.027	4.200600000000122
19500	9634	9	2	0.046	7.031799999999976
19600	9638	9	2	0.064	4.161200000000008
19700	9734	9	2	0.131	5.974899999999934
19800	9890	9	2	0.145	4.427200000000084
19900	9961	9	2	0.13	6.201199999999972
20000	9979	9	2	0.038	4.861100000000079
20100	10047	9	2	0.133	9.019999999999982
20200	10067	9	2	0.049	5.188699999999926
20300	10084	9	2	0.042	6.720000000000027
20400	10145	9	2	0.149	6.9547999999999774
20500	10157	9	2	0.038	6.948100000000068
20600	10344	9	2	0.205	3.8953999999998814
20700	10417	9	2	0.138	4.326099999999997
20800	10536	9	2	0.104	4.228200000000015
20900	10581	9	2	0.065	5.525200000000041
21000	10645	9	2	0.084	8.717100000000073
21100	10675	9	2	0.041	4.705799999999954
21200	10675	9	2	0.029	4.1440000000000055
21300	10692	9	2	0.086	4.673199999999952
21400	10778	9	2	0.065	4.2590000000000146
21500	10794	9	2	0.032	4.863900000000058
21600	10845	9	2	0.043	3.9401000000000295
21700	10884	9	2	0.047	5.247699999999895
21800	10889	9	2	0.028	4.498700000000099
21900	10920	9	2	0.028	4.956299999999828
22000	10921	9	2	0.026	4.731200000000172
22100	10931	9	2	0.048	5.2210999999999785
22200	10940	9	2	0.038	4.721499999999878
22300	10977	9	2	0.04	4.463200000000143
22400	11046	9	2	0.051	5.621499999999969
22500	11129	9	2	0.072	5.035200000000032
22600	11256	9	2	0.137	4.35329999999999
22700	11293	9	2	0.051	4.067199999999957
22800	11332	9	2	0.059	4.527599999999893
22900	11345	9	2	0.023	5.355099999999993
23000	11349	9	2	0.029	5.157400000000052
23100	11465	9	2	0.072	6.961500000000115
23200	11473	9	2	0.049	7.827399999999898
23300	11510	9	2	0.069	9.078400000000101
23400	11600	9	2	0.084	6.9284999999999854
23500	11690	9	2	0.097	5.9039000000000215
23600	11715	9	2	0.045	4.751999999999953
23700	11791	9	2	0.134	4.792199999999866
23800	11801	9	2	0.025	5.308700000000044
23900	11807	9	2	0.046	4.274000000000115
